Algorithm,Dataset,ThresholdSim,Training%,NumAddedEdges,NumRemovedEdges,AvgAccuracy
GraphConv,Pubmed,0.7999999999999999,0.025,4810,1669,0.766
GraphConv,Pubmed,0.7999999999999999,0.03,4810,1669,0.759
GraphConv,Pubmed,0.8999999999999999,0.005,408,165,0.735
GraphConv,Pubmed,0.8999999999999999,0.01,408,165,0.745
GraphConv,Pubmed,0.8999999999999999,0.015,408,165,0.74
GraphConv,Pubmed,0.8999999999999999,0.02,408,165,0.753
GraphConv,Pubmed,0.8999999999999999,0.025,408,165,0.771
GraphConv,Pubmed,0.8999999999999999,0.03,408,165,0.773
GraphConv,Pubmed,0.0,0.005,0,0,0.743
GraphConv,Pubmed,0.0,0.01,0,0,0.728
GraphConv,Pubmed,0.0,0.015,0,0,0.761
GraphConv,Pubmed,0.0,0.02,0,0,0.768
GraphConv,Pubmed,0.0,0.025,0,0,0.767
GraphConv,Pubmed,0.0,0.03,0,0,0.77
GraphConv,Pubmed,0.5,0.005,575574,0,0.699
GraphConv,Pubmed,0.5,0.01,575574,0,0.728
GraphConv,Pubmed,0.5,0.015,575574,0,0.695
GraphConv,Pubmed,0.5,0.02,575574,0,0.74
GraphConv,Pubmed,0.5,0.025,575574,0,0.737
GraphConv,Pubmed,0.5,0.03,575574,0,0.736
GraphConv,Pubmed,0.6,0.005,156544,0,0.707
GraphConv,Pubmed,0.6,0.01,156544,0,0.721
GraphConv,Pubmed,0.6,0.015,156544,0,0.73
GraphConv,Pubmed,0.6,0.02,156544,0,0.754
GraphConv,Pubmed,0.6,0.025,156544,0,0.754
GraphConv,Pubmed,0.6,0.03,156544,0,0.75
GraphConv,Pubmed,0.7,0.005,32250,0,0.731
GraphConv,Pubmed,0.7,0.01,32250,0,0.746
GraphConv,Pubmed,0.7,0.015,32250,0,0.736
GraphConv,Pubmed,0.7,0.02,32250,0,0.77
GraphConv,Pubmed,0.7,0.025,32250,0,0.764
GraphConv,Pubmed,0.7,0.03,32250,0,0.768
GraphConv,Pubmed,0.7999999999999999,0.005,4810,0,0.671
GraphConv,Pubmed,0.7999999999999999,0.01,4810,0,0.767
GraphConv,Pubmed,0.7999999999999999,0.015,4810,0,0.755
GraphConv,Pubmed,0.7999999999999999,0.02,4810,0,0.769
GraphConv,Pubmed,0.7999999999999999,0.025,4810,0,0.761
GraphConv,Pubmed,0.7999999999999999,0.03,4810,0,0.763
GraphConv,Pubmed,0.8999999999999999,0.005,408,0,0.723
GraphConv,Pubmed,0.8999999999999999,0.01,408,0,0.716
GraphConv,Pubmed,0.8999999999999999,0.015,408,0,0.765
GraphConv,Pubmed,0.8999999999999999,0.02,408,0,0.756
GraphConv,Pubmed,0.8999999999999999,0.025,408,0,0.759
GraphConv,Pubmed,0.8999999999999999,0.03,408,0,0.771
SAGEConv,Physics,0.0,0.005,0,0,0.904
SAGEConv,Physics,0.0,0.01,0,0,0.918
SAGEConv,Physics,0.0,0.015,0,0,0.934
SAGEConv,Physics,0.0,0.02,0,0,0.93
SAGEConv,Physics,0.0,0.025,0,0,0.932
SAGEConv,Physics,0.0,0.03,0,0,0.938
