Iteration,Algorithm,Dataset,ThresholdSim,Training%,NumAddedEdges,NumRemovedEdges,Accuracy
2,GraphConv,Pubmed,0.5,0.025,575574,61591,0.741
1,GraphConv,Pubmed,0.5,0.025,575574,61591,0.742
0,GraphConv,Pubmed,0.5,0.025,575574,61591,0.741
4,GraphConv,Pubmed,0.5,0.03,575574,61591,0.738
3,GraphConv,Pubmed,0.5,0.03,575574,61591,0.736
2,GraphConv,Pubmed,0.5,0.03,575574,61591,0.735
1,GraphConv,Pubmed,0.5,0.03,575574,61591,0.732
0,GraphConv,Pubmed,0.5,0.03,575574,61591,0.734
4,GraphConv,Pubmed,0.6,0.005,156544,31460,0.71
3,GraphConv,Pubmed,0.6,0.005,156544,31460,0.703
2,GraphConv,Pubmed,0.6,0.005,156544,31460,0.717
1,GraphConv,Pubmed,0.6,0.005,156544,31460,0.716
0,GraphConv,Pubmed,0.6,0.005,156544,31460,0.712
4,GraphConv,Pubmed,0.6,0.01,156544,31460,0.736
3,GraphConv,Pubmed,0.6,0.01,156544,31460,0.739
2,GraphConv,Pubmed,0.6,0.01,156544,31460,0.736
1,GraphConv,Pubmed,0.6,0.01,156544,31460,0.737
0,GraphConv,Pubmed,0.6,0.01,156544,31460,0.737
4,GraphConv,Pubmed,0.6,0.015,156544,31460,0.75
3,GraphConv,Pubmed,0.6,0.015,156544,31460,0.747
2,GraphConv,Pubmed,0.6,0.015,156544,31460,0.745
1,GraphConv,Pubmed,0.6,0.015,156544,31460,0.748
0,GraphConv,Pubmed,0.6,0.015,156544,31460,0.741
4,GraphConv,Pubmed,0.6,0.02,156544,31460,0.739
3,GraphConv,Pubmed,0.6,0.02,156544,31460,0.737
2,GraphConv,Pubmed,0.6,0.02,156544,31460,0.739
1,GraphConv,Pubmed,0.6,0.02,156544,31460,0.739
0,GraphConv,Pubmed,0.6,0.02,156544,31460,0.74
4,GraphConv,Pubmed,0.6,0.025,156544,31460,0.749
3,GraphConv,Pubmed,0.6,0.025,156544,31460,0.754
2,GraphConv,Pubmed,0.6,0.025,156544,31460,0.753
1,GraphConv,Pubmed,0.6,0.025,156544,31460,0.752
0,GraphConv,Pubmed,0.6,0.025,156544,31460,0.755
4,GraphConv,Pubmed,0.6,0.03,156544,31460,0.748
3,GraphConv,Pubmed,0.6,0.03,156544,31460,0.751
2,GraphConv,Pubmed,0.6,0.03,156544,31460,0.755
1,GraphConv,Pubmed,0.6,0.03,156544,31460,0.75
0,GraphConv,Pubmed,0.6,0.03,156544,31460,0.751
4,GraphConv,Pubmed,0.7,0.005,32250,10086,0.732
3,GraphConv,Pubmed,0.7,0.005,32250,10086,0.735
2,GraphConv,Pubmed,0.7,0.005,32250,10086,0.736
1,GraphConv,Pubmed,0.7,0.005,32250,10086,0.734
0,GraphConv,Pubmed,0.7,0.005,32250,10086,0.739
4,GraphConv,Pubmed,0.7,0.01,32250,10086,0.748
3,GraphConv,Pubmed,0.7,0.01,32250,10086,0.743
2,GraphConv,Pubmed,0.7,0.01,32250,10086,0.751
1,GraphConv,Pubmed,0.7,0.01,32250,10086,0.754
0,GraphConv,Pubmed,0.7,0.01,32250,10086,0.751
4,GraphConv,Pubmed,0.7,0.015,32250,10086,0.765
3,GraphConv,Pubmed,0.7,0.015,32250,10086,0.766
2,GraphConv,Pubmed,0.7,0.015,32250,10086,0.756
1,GraphConv,Pubmed,0.7,0.015,32250,10086,0.76
0,GraphConv,Pubmed,0.7,0.015,32250,10086,0.76
4,GraphConv,Pubmed,0.7,0.02,32250,10086,0.754
3,GraphConv,Pubmed,0.7,0.02,32250,10086,0.755
2,GraphConv,Pubmed,0.7,0.02,32250,10086,0.751
1,GraphConv,Pubmed,0.7,0.02,32250,10086,0.751
0,GraphConv,Pubmed,0.7,0.02,32250,10086,0.762
4,GraphConv,Pubmed,0.7,0.025,32250,10086,0.765
3,GraphConv,Pubmed,0.7,0.025,32250,10086,0.769
2,GraphConv,Pubmed,0.7,0.025,32250,10086,0.764
1,GraphConv,Pubmed,0.7,0.025,32250,10086,0.76
0,GraphConv,Pubmed,0.7,0.025,32250,10086,0.763
4,GraphConv,Pubmed,0.7,0.03,32250,10086,0.762
3,GraphConv,Pubmed,0.7,0.03,32250,10086,0.765
2,GraphConv,Pubmed,0.7,0.03,32250,10086,0.766
1,GraphConv,Pubmed,0.7,0.03,32250,10086,0.763
0,GraphConv,Pubmed,0.7,0.03,32250,10086,0.767
4,GraphConv,Pubmed,0.7999999999999999,0.005,4810,1669,0.712
3,GraphConv,Pubmed,0.7999999999999999,0.005,4810,1669,0.695
2,GraphConv,Pubmed,0.7999999999999999,0.005,4810,1669,0.708
1,GraphConv,Pubmed,0.7999999999999999,0.005,4810,1669,0.703
0,GraphConv,Pubmed,0.7999999999999999,0.005,4810,1669,0.709
4,GraphConv,Pubmed,0.7999999999999999,0.01,4810,1669,0.717
3,GraphConv,Pubmed,0.7999999999999999,0.01,4810,1669,0.713
2,GraphConv,Pubmed,0.7999999999999999,0.01,4810,1669,0.711
1,GraphConv,Pubmed,0.7999999999999999,0.01,4810,1669,0.724
0,GraphConv,Pubmed,0.7999999999999999,0.01,4810,1669,0.709
4,GraphConv,Pubmed,0.7999999999999999,0.015,4810,1669,0.752
3,GraphConv,Pubmed,0.7999999999999999,0.015,4810,1669,0.753
2,GraphConv,Pubmed,0.7999999999999999,0.015,4810,1669,0.759
1,GraphConv,Pubmed,0.7999999999999999,0.015,4810,1669,0.756
0,GraphConv,Pubmed,0.7999999999999999,0.015,4810,1669,0.763
4,GraphConv,Pubmed,0.7999999999999999,0.02,4810,1669,0.768
3,GraphConv,Pubmed,0.7999999999999999,0.02,4810,1669,0.759
2,GraphConv,Pubmed,0.7999999999999999,0.02,4810,1669,0.76
1,GraphConv,Pubmed,0.7999999999999999,0.02,4810,1669,0.768
0,GraphConv,Pubmed,0.7999999999999999,0.02,4810,1669,0.765
4,GraphConv,Pubmed,0.7999999999999999,0.025,4810,1669,0.766
3,GraphConv,Pubmed,0.7999999999999999,0.025,4810,1669,0.767
2,GraphConv,Pubmed,0.7999999999999999,0.025,4810,1669,0.769
1,GraphConv,Pubmed,0.7999999999999999,0.025,4810,1669,0.764
0,GraphConv,Pubmed,0.7999999999999999,0.025,4810,1669,0.766
4,GraphConv,Pubmed,0.7999999999999999,0.03,4810,1669,0.757
3,GraphConv,Pubmed,0.7999999999999999,0.03,4810,1669,0.759
2,GraphConv,Pubmed,0.7999999999999999,0.03,4810,1669,0.754
1,GraphConv,Pubmed,0.7999999999999999,0.03,4810,1669,0.76
0,GraphConv,Pubmed,0.7999999999999999,0.03,4810,1669,0.765
4,GraphConv,Pubmed,0.8999999999999999,0.005,408,165,0.735
3,GraphConv,Pubmed,0.8999999999999999,0.005,408,165,0.737
2,GraphConv,Pubmed,0.8999999999999999,0.005,408,165,0.74
1,GraphConv,Pubmed,0.8999999999999999,0.005,408,165,0.737
0,GraphConv,Pubmed,0.8999999999999999,0.005,408,165,0.726
4,GraphConv,Pubmed,0.8999999999999999,0.01,408,165,0.746
3,GraphConv,Pubmed,0.8999999999999999,0.01,408,165,0.75
2,GraphConv,Pubmed,0.8999999999999999,0.01,408,165,0.747
1,GraphConv,Pubmed,0.8999999999999999,0.01,408,165,0.743
0,GraphConv,Pubmed,0.8999999999999999,0.01,408,165,0.74
4,GraphConv,Pubmed,0.8999999999999999,0.015,408,165,0.742
3,GraphConv,Pubmed,0.8999999999999999,0.015,408,165,0.74
2,GraphConv,Pubmed,0.8999999999999999,0.015,408,165,0.742
1,GraphConv,Pubmed,0.8999999999999999,0.015,408,165,0.739
0,GraphConv,Pubmed,0.8999999999999999,0.015,408,165,0.735
4,GraphConv,Pubmed,0.8999999999999999,0.02,408,165,0.755
3,GraphConv,Pubmed,0.8999999999999999,0.02,408,165,0.75
2,GraphConv,Pubmed,0.8999999999999999,0.02,408,165,0.754
1,GraphConv,Pubmed,0.8999999999999999,0.02,408,165,0.757
0,GraphConv,Pubmed,0.8999999999999999,0.02,408,165,0.749
4,GraphConv,Pubmed,0.8999999999999999,0.025,408,165,0.77
3,GraphConv,Pubmed,0.8999999999999999,0.025,408,165,0.773
2,GraphConv,Pubmed,0.8999999999999999,0.025,408,165,0.774
1,GraphConv,Pubmed,0.8999999999999999,0.025,408,165,0.764
0,GraphConv,Pubmed,0.8999999999999999,0.025,408,165,0.773
4,GraphConv,Pubmed,0.8999999999999999,0.03,408,165,0.772
3,GraphConv,Pubmed,0.8999999999999999,0.03,408,165,0.773
2,GraphConv,Pubmed,0.8999999999999999,0.03,408,165,0.779
1,GraphConv,Pubmed,0.8999999999999999,0.03,408,165,0.779
0,GraphConv,Pubmed,0.8999999999999999,0.03,408,165,0.764
4,GraphConv,Pubmed,0.0,0.005,0,0,0.742
3,GraphConv,Pubmed,0.0,0.005,0,0,0.743
2,GraphConv,Pubmed,0.0,0.005,0,0,0.751
1,GraphConv,Pubmed,0.0,0.005,0,0,0.744
0,GraphConv,Pubmed,0.0,0.005,0,0,0.735
4,GraphConv,Pubmed,0.0,0.01,0,0,0.73
3,GraphConv,Pubmed,0.0,0.01,0,0,0.726
2,GraphConv,Pubmed,0.0,0.01,0,0,0.732
1,GraphConv,Pubmed,0.0,0.01,0,0,0.734
0,GraphConv,Pubmed,0.0,0.01,0,0,0.718
4,GraphConv,Pubmed,0.0,0.015,0,0,0.764
3,GraphConv,Pubmed,0.0,0.015,0,0,0.762
2,GraphConv,Pubmed,0.0,0.015,0,0,0.76
1,GraphConv,Pubmed,0.0,0.015,0,0,0.758
0,GraphConv,Pubmed,0.0,0.015,0,0,0.759
4,GraphConv,Pubmed,0.0,0.02,0,0,0.762
3,GraphConv,Pubmed,0.0,0.02,0,0,0.777
2,GraphConv,Pubmed,0.0,0.02,0,0,0.768
1,GraphConv,Pubmed,0.0,0.02,0,0,0.765
0,GraphConv,Pubmed,0.0,0.02,0,0,0.768
4,GraphConv,Pubmed,0.0,0.025,0,0,0.768
3,GraphConv,Pubmed,0.0,0.025,0,0,0.766
2,GraphConv,Pubmed,0.0,0.025,0,0,0.764
1,GraphConv,Pubmed,0.0,0.025,0,0,0.769
0,GraphConv,Pubmed,0.0,0.025,0,0,0.769
4,GraphConv,Pubmed,0.0,0.03,0,0,0.767
3,GraphConv,Pubmed,0.0,0.03,0,0,0.774
2,GraphConv,Pubmed,0.0,0.03,0,0,0.764
1,GraphConv,Pubmed,0.0,0.03,0,0,0.772
0,GraphConv,Pubmed,0.0,0.03,0,0,0.772
4,GraphConv,Pubmed,0.5,0.005,575574,0,0.698
3,GraphConv,Pubmed,0.5,0.005,575574,0,0.7
2,GraphConv,Pubmed,0.5,0.005,575574,0,0.699
1,GraphConv,Pubmed,0.5,0.005,575574,0,0.696
0,GraphConv,Pubmed,0.5,0.005,575574,0,0.7
4,GraphConv,Pubmed,0.5,0.01,575574,0,0.73
3,GraphConv,Pubmed,0.5,0.01,575574,0,0.73
2,GraphConv,Pubmed,0.5,0.01,575574,0,0.728
1,GraphConv,Pubmed,0.5,0.01,575574,0,0.726
0,GraphConv,Pubmed,0.5,0.01,575574,0,0.726
4,GraphConv,Pubmed,0.5,0.015,575574,0,0.697
3,GraphConv,Pubmed,0.5,0.015,575574,0,0.697
2,GraphConv,Pubmed,0.5,0.015,575574,0,0.691
1,GraphConv,Pubmed,0.5,0.015,575574,0,0.692
0,GraphConv,Pubmed,0.5,0.015,575574,0,0.7
4,GraphConv,Pubmed,0.5,0.02,575574,0,0.742
3,GraphConv,Pubmed,0.5,0.02,575574,0,0.74
2,GraphConv,Pubmed,0.5,0.02,575574,0,0.741
1,GraphConv,Pubmed,0.5,0.02,575574,0,0.738
0,GraphConv,Pubmed,0.5,0.02,575574,0,0.74
4,GraphConv,Pubmed,0.5,0.025,575574,0,0.736
3,GraphConv,Pubmed,0.5,0.025,575574,0,0.736
2,GraphConv,Pubmed,0.5,0.025,575574,0,0.739
1,GraphConv,Pubmed,0.5,0.025,575574,0,0.736
0,GraphConv,Pubmed,0.5,0.025,575574,0,0.736
4,GraphConv,Pubmed,0.5,0.03,575574,0,0.737
3,GraphConv,Pubmed,0.5,0.03,575574,0,0.736
2,GraphConv,Pubmed,0.5,0.03,575574,0,0.734
1,GraphConv,Pubmed,0.5,0.03,575574,0,0.737
0,GraphConv,Pubmed,0.5,0.03,575574,0,0.737
4,GraphConv,Pubmed,0.6,0.005,156544,0,0.707
3,GraphConv,Pubmed,0.6,0.005,156544,0,0.71
2,GraphConv,Pubmed,0.6,0.005,156544,0,0.706
1,GraphConv,Pubmed,0.6,0.005,156544,0,0.707
0,GraphConv,Pubmed,0.6,0.005,156544,0,0.703
4,GraphConv,Pubmed,0.6,0.01,156544,0,0.72
3,GraphConv,Pubmed,0.6,0.01,156544,0,0.724
2,GraphConv,Pubmed,0.6,0.01,156544,0,0.724
1,GraphConv,Pubmed,0.6,0.01,156544,0,0.717
0,GraphConv,Pubmed,0.6,0.01,156544,0,0.718
4,GraphConv,Pubmed,0.6,0.015,156544,0,0.733
3,GraphConv,Pubmed,0.6,0.015,156544,0,0.726
2,GraphConv,Pubmed,0.6,0.015,156544,0,0.729
1,GraphConv,Pubmed,0.6,0.015,156544,0,0.726
0,GraphConv,Pubmed,0.6,0.015,156544,0,0.736
4,GraphConv,Pubmed,0.6,0.02,156544,0,0.751
3,GraphConv,Pubmed,0.6,0.02,156544,0,0.753
2,GraphConv,Pubmed,0.6,0.02,156544,0,0.758
1,GraphConv,Pubmed,0.6,0.02,156544,0,0.754
0,GraphConv,Pubmed,0.6,0.02,156544,0,0.752
4,GraphConv,Pubmed,0.6,0.025,156544,0,0.755
3,GraphConv,Pubmed,0.6,0.025,156544,0,0.751
2,GraphConv,Pubmed,0.6,0.025,156544,0,0.752
1,GraphConv,Pubmed,0.6,0.025,156544,0,0.757
0,GraphConv,Pubmed,0.6,0.025,156544,0,0.756
4,GraphConv,Pubmed,0.6,0.03,156544,0,0.748
3,GraphConv,Pubmed,0.6,0.03,156544,0,0.751
2,GraphConv,Pubmed,0.6,0.03,156544,0,0.743
1,GraphConv,Pubmed,0.6,0.03,156544,0,0.753
0,GraphConv,Pubmed,0.6,0.03,156544,0,0.753
4,GraphConv,Pubmed,0.7,0.005,32250,0,0.729
3,GraphConv,Pubmed,0.7,0.005,32250,0,0.729
2,GraphConv,Pubmed,0.7,0.005,32250,0,0.732
1,GraphConv,Pubmed,0.7,0.005,32250,0,0.733
0,GraphConv,Pubmed,0.7,0.005,32250,0,0.73
4,GraphConv,Pubmed,0.7,0.01,32250,0,0.744
3,GraphConv,Pubmed,0.7,0.01,32250,0,0.749
2,GraphConv,Pubmed,0.7,0.01,32250,0,0.742
1,GraphConv,Pubmed,0.7,0.01,32250,0,0.749
0,GraphConv,Pubmed,0.7,0.01,32250,0,0.748
4,GraphConv,Pubmed,0.7,0.015,32250,0,0.736
3,GraphConv,Pubmed,0.7,0.015,32250,0,0.735
2,GraphConv,Pubmed,0.7,0.015,32250,0,0.738
1,GraphConv,Pubmed,0.7,0.015,32250,0,0.737
0,GraphConv,Pubmed,0.7,0.015,32250,0,0.735
4,GraphConv,Pubmed,0.7,0.02,32250,0,0.77
3,GraphConv,Pubmed,0.7,0.02,32250,0,0.769
2,GraphConv,Pubmed,0.7,0.02,32250,0,0.772
1,GraphConv,Pubmed,0.7,0.02,32250,0,0.773
0,GraphConv,Pubmed,0.7,0.02,32250,0,0.766
4,GraphConv,Pubmed,0.7,0.025,32250,0,0.76
3,GraphConv,Pubmed,0.7,0.025,32250,0,0.761
2,GraphConv,Pubmed,0.7,0.025,32250,0,0.76
1,GraphConv,Pubmed,0.7,0.025,32250,0,0.769
0,GraphConv,Pubmed,0.7,0.025,32250,0,0.769
4,GraphConv,Pubmed,0.7,0.03,32250,0,0.77
3,GraphConv,Pubmed,0.7,0.03,32250,0,0.764
2,GraphConv,Pubmed,0.7,0.03,32250,0,0.77
1,GraphConv,Pubmed,0.7,0.03,32250,0,0.767
0,GraphConv,Pubmed,0.7,0.03,32250,0,0.767
4,GraphConv,Pubmed,0.7999999999999999,0.005,4810,0,0.665
3,GraphConv,Pubmed,0.7999999999999999,0.005,4810,0,0.677
2,GraphConv,Pubmed,0.7999999999999999,0.005,4810,0,0.66
1,GraphConv,Pubmed,0.7999999999999999,0.005,4810,0,0.677
0,GraphConv,Pubmed,0.7999999999999999,0.005,4810,0,0.676
4,GraphConv,Pubmed,0.7999999999999999,0.01,4810,0,0.77
3,GraphConv,Pubmed,0.7999999999999999,0.01,4810,0,0.766
2,GraphConv,Pubmed,0.7999999999999999,0.01,4810,0,0.771
1,GraphConv,Pubmed,0.7999999999999999,0.01,4810,0,0.764
0,GraphConv,Pubmed,0.7999999999999999,0.01,4810,0,0.766
4,GraphConv,Pubmed,0.7999999999999999,0.015,4810,0,0.759
3,GraphConv,Pubmed,0.7999999999999999,0.015,4810,0,0.756
2,GraphConv,Pubmed,0.7999999999999999,0.015,4810,0,0.757
1,GraphConv,Pubmed,0.7999999999999999,0.015,4810,0,0.751
0,GraphConv,Pubmed,0.7999999999999999,0.015,4810,0,0.753
4,GraphConv,Pubmed,0.7999999999999999,0.02,4810,0,0.769
3,GraphConv,Pubmed,0.7999999999999999,0.02,4810,0,0.771
2,GraphConv,Pubmed,0.7999999999999999,0.02,4810,0,0.767
1,GraphConv,Pubmed,0.7999999999999999,0.02,4810,0,0.769
0,GraphConv,Pubmed,0.7999999999999999,0.02,4810,0,0.77
4,GraphConv,Pubmed,0.7999999999999999,0.025,4810,0,0.759
3,GraphConv,Pubmed,0.7999999999999999,0.025,4810,0,0.763
2,GraphConv,Pubmed,0.7999999999999999,0.025,4810,0,0.762
1,GraphConv,Pubmed,0.7999999999999999,0.025,4810,0,0.758
0,GraphConv,Pubmed,0.7999999999999999,0.025,4810,0,0.761
4,GraphConv,Pubmed,0.7999999999999999,0.03,4810,0,0.764
3,GraphConv,Pubmed,0.7999999999999999,0.03,4810,0,0.766
2,GraphConv,Pubmed,0.7999999999999999,0.03,4810,0,0.758
1,GraphConv,Pubmed,0.7999999999999999,0.03,4810,0,0.762
0,GraphConv,Pubmed,0.7999999999999999,0.03,4810,0,0.763
4,GraphConv,Pubmed,0.8999999999999999,0.005,408,0,0.726
3,GraphConv,Pubmed,0.8999999999999999,0.005,408,0,0.72
2,GraphConv,Pubmed,0.8999999999999999,0.005,408,0,0.727
1,GraphConv,Pubmed,0.8999999999999999,0.005,408,0,0.719
0,GraphConv,Pubmed,0.8999999999999999,0.005,408,0,0.721
4,GraphConv,Pubmed,0.8999999999999999,0.01,408,0,0.724
3,GraphConv,Pubmed,0.8999999999999999,0.01,408,0,0.716
2,GraphConv,Pubmed,0.8999999999999999,0.01,408,0,0.709
1,GraphConv,Pubmed,0.8999999999999999,0.01,408,0,0.715
0,GraphConv,Pubmed,0.8999999999999999,0.01,408,0,0.717
4,GraphConv,Pubmed,0.8999999999999999,0.015,408,0,0.764
3,GraphConv,Pubmed,0.8999999999999999,0.015,408,0,0.766
2,GraphConv,Pubmed,0.8999999999999999,0.015,408,0,0.771
1,GraphConv,Pubmed,0.8999999999999999,0.015,408,0,0.768
0,GraphConv,Pubmed,0.8999999999999999,0.015,408,0,0.758
4,GraphConv,Pubmed,0.8999999999999999,0.02,408,0,0.762
3,GraphConv,Pubmed,0.8999999999999999,0.02,408,0,0.752
2,GraphConv,Pubmed,0.8999999999999999,0.02,408,0,0.76
1,GraphConv,Pubmed,0.8999999999999999,0.02,408,0,0.756
0,GraphConv,Pubmed,0.8999999999999999,0.02,408,0,0.752
4,GraphConv,Pubmed,0.8999999999999999,0.025,408,0,0.762
3,GraphConv,Pubmed,0.8999999999999999,0.025,408,0,0.756
2,GraphConv,Pubmed,0.8999999999999999,0.025,408,0,0.765
1,GraphConv,Pubmed,0.8999999999999999,0.025,408,0,0.756
0,GraphConv,Pubmed,0.8999999999999999,0.025,408,0,0.755
4,GraphConv,Pubmed,0.8999999999999999,0.03,408,0,0.773
3,GraphConv,Pubmed,0.8999999999999999,0.03,408,0,0.768
2,GraphConv,Pubmed,0.8999999999999999,0.03,408,0,0.771
1,GraphConv,Pubmed,0.8999999999999999,0.03,408,0,0.77
0,GraphConv,Pubmed,0.8999999999999999,0.03,408,0,0.774
4,SAGEConv,Physics,0.0,0.005,0,0,0.905
3,SAGEConv,Physics,0.0,0.005,0,0,0.902
2,SAGEConv,Physics,0.0,0.005,0,0,0.901
1,SAGEConv,Physics,0.0,0.005,0,0,0.904
0,SAGEConv,Physics,0.0,0.005,0,0,0.906
4,SAGEConv,Physics,0.0,0.01,0,0,0.92
3,SAGEConv,Physics,0.0,0.01,0,0,0.918
2,SAGEConv,Physics,0.0,0.01,0,0,0.917
1,SAGEConv,Physics,0.0,0.01,0,0,0.918
0,SAGEConv,Physics,0.0,0.01,0,0,0.918
4,SAGEConv,Physics,0.0,0.015,0,0,0.934
3,SAGEConv,Physics,0.0,0.015,0,0,0.935
2,SAGEConv,Physics,0.0,0.015,0,0,0.933
1,SAGEConv,Physics,0.0,0.015,0,0,0.935
0,SAGEConv,Physics,0.0,0.015,0,0,0.934
4,SAGEConv,Physics,0.0,0.02,0,0,0.931
3,SAGEConv,Physics,0.0,0.02,0,0,0.929
2,SAGEConv,Physics,0.0,0.02,0,0,0.931
1,SAGEConv,Physics,0.0,0.02,0,0,0.929
0,SAGEConv,Physics,0.0,0.02,0,0,0.932
4,SAGEConv,Physics,0.0,0.025,0,0,0.931
3,SAGEConv,Physics,0.0,0.025,0,0,0.931
2,SAGEConv,Physics,0.0,0.025,0,0,0.932
1,SAGEConv,Physics,0.0,0.025,0,0,0.933
0,SAGEConv,Physics,0.0,0.025,0,0,0.931
4,SAGEConv,Physics,0.0,0.03,0,0,0.937
3,SAGEConv,Physics,0.0,0.03,0,0,0.939
2,SAGEConv,Physics,0.0,0.03,0,0,0.939
1,SAGEConv,Physics,0.0,0.03,0,0,0.937
0,SAGEConv,Physics,0.0,0.03,0,0,0.938
