Iteration,Algorithm,Dataset,ThresholdSim,Training%,NumAddedEdges,NumRemovedEdges,Accuracy
3,SAGEConv,Pubmed,0.7,0.025,10086,10086,0.785
2,SAGEConv,Pubmed,0.7,0.025,10086,10086,0.783
1,SAGEConv,Pubmed,0.7,0.025,10086,10086,0.787
0,SAGEConv,Pubmed,0.7,0.025,10086,10086,0.787
4,SAGEConv,Pubmed,0.8,0.005,1669,1669,0.735
3,SAGEConv,Pubmed,0.8,0.005,1669,1669,0.732
2,SAGEConv,Pubmed,0.8,0.005,1669,1669,0.731
1,SAGEConv,Pubmed,0.8,0.005,1669,1669,0.734
0,SAGEConv,Pubmed,0.8,0.005,1669,1669,0.741
4,SAGEConv,Pubmed,0.8,0.01,1669,1669,0.776
3,SAGEConv,Pubmed,0.8,0.01,1669,1669,0.78
2,SAGEConv,Pubmed,0.8,0.01,1669,1669,0.776
1,SAGEConv,Pubmed,0.8,0.01,1669,1669,0.776
0,SAGEConv,Pubmed,0.8,0.01,1669,1669,0.778
4,SAGEConv,Pubmed,0.8,0.015,1669,1669,0.787
3,SAGEConv,Pubmed,0.8,0.015,1669,1669,0.785
2,SAGEConv,Pubmed,0.8,0.015,1669,1669,0.788
1,SAGEConv,Pubmed,0.8,0.015,1669,1669,0.785
0,SAGEConv,Pubmed,0.8,0.015,1669,1669,0.785
4,SAGEConv,Pubmed,0.8,0.02,1669,1669,0.772
3,SAGEConv,Pubmed,0.8,0.02,1669,1669,0.775
2,SAGEConv,Pubmed,0.8,0.02,1669,1669,0.77
1,SAGEConv,Pubmed,0.8,0.02,1669,1669,0.771
0,SAGEConv,Pubmed,0.8,0.02,1669,1669,0.772
4,SAGEConv,Pubmed,0.8,0.025,1669,1669,0.791
3,SAGEConv,Pubmed,0.8,0.025,1669,1669,0.785
2,SAGEConv,Pubmed,0.8,0.025,1669,1669,0.79
1,SAGEConv,Pubmed,0.8,0.025,1669,1669,0.791
0,SAGEConv,Pubmed,0.8,0.025,1669,1669,0.789
4,SAGEConv,Pubmed,0.9,0.005,165,165,0.74
3,SAGEConv,Pubmed,0.9,0.005,165,165,0.737
2,SAGEConv,Pubmed,0.9,0.005,165,165,0.739
1,SAGEConv,Pubmed,0.9,0.005,165,165,0.736
0,SAGEConv,Pubmed,0.9,0.005,165,165,0.738
4,SAGEConv,Pubmed,0.9,0.01,165,165,0.776
3,SAGEConv,Pubmed,0.9,0.01,165,165,0.772
2,SAGEConv,Pubmed,0.9,0.01,165,165,0.775
1,SAGEConv,Pubmed,0.9,0.01,165,165,0.775
0,SAGEConv,Pubmed,0.9,0.01,165,165,0.773
4,SAGEConv,Pubmed,0.9,0.015,165,165,0.788
3,SAGEConv,Pubmed,0.9,0.015,165,165,0.792
2,SAGEConv,Pubmed,0.9,0.015,165,165,0.785
1,SAGEConv,Pubmed,0.9,0.015,165,165,0.787
0,SAGEConv,Pubmed,0.9,0.015,165,165,0.787
4,SAGEConv,Pubmed,0.9,0.02,165,165,0.79
3,SAGEConv,Pubmed,0.9,0.02,165,165,0.794
2,SAGEConv,Pubmed,0.9,0.02,165,165,0.792
1,SAGEConv,Pubmed,0.9,0.02,165,165,0.794
0,SAGEConv,Pubmed,0.9,0.02,165,165,0.792
4,SAGEConv,Pubmed,0.9,0.025,165,165,0.8
3,SAGEConv,Pubmed,0.9,0.025,165,165,0.801
2,SAGEConv,Pubmed,0.9,0.025,165,165,0.802
1,SAGEConv,Pubmed,0.9,0.025,165,165,0.8
0,SAGEConv,Pubmed,0.9,0.025,165,165,0.802
4,SAGEConv,Pubmed,0.0,0.005,0,0,0.753
3,SAGEConv,Pubmed,0.0,0.005,0,0,0.755
2,SAGEConv,Pubmed,0.0,0.005,0,0,0.757
1,SAGEConv,Pubmed,0.0,0.005,0,0,0.751
0,SAGEConv,Pubmed,0.0,0.005,0,0,0.76
4,SAGEConv,Pubmed,0.0,0.01,0,0,0.764
3,SAGEConv,Pubmed,0.0,0.01,0,0,0.767
2,SAGEConv,Pubmed,0.0,0.01,0,0,0.766
1,SAGEConv,Pubmed,0.0,0.01,0,0,0.766
0,SAGEConv,Pubmed,0.0,0.01,0,0,0.764
4,SAGEConv,Pubmed,0.0,0.015,0,0,0.787
3,SAGEConv,Pubmed,0.0,0.015,0,0,0.789
2,SAGEConv,Pubmed,0.0,0.015,0,0,0.79
1,SAGEConv,Pubmed,0.0,0.015,0,0,0.791
0,SAGEConv,Pubmed,0.0,0.015,0,0,0.792
4,SAGEConv,Pubmed,0.0,0.02,0,0,0.793
3,SAGEConv,Pubmed,0.0,0.02,0,0,0.794
2,SAGEConv,Pubmed,0.0,0.02,0,0,0.794
1,SAGEConv,Pubmed,0.0,0.02,0,0,0.795
0,SAGEConv,Pubmed,0.0,0.02,0,0,0.795
4,SAGEConv,Pubmed,0.0,0.025,0,0,0.804
3,SAGEConv,Pubmed,0.0,0.025,0,0,0.803
2,SAGEConv,Pubmed,0.0,0.025,0,0,0.803
1,SAGEConv,Pubmed,0.0,0.025,0,0,0.804
0,SAGEConv,Pubmed,0.0,0.025,0,0,0.804
